"Total Requirements, Industry-by-Industry - Summary"
"Total Requirements, Industry-by-Industry - Summary"

,Industries/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
,Industry Description,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises
313TT,Textile mills and textile product mills,0.0009564,0.0003552,0.0005717,0.0007556,0.0003798,0.0002507,0.0022266,0.0054312,0.0029517,0.0012091,0.0009571,0.0032676,0.0004350,0.0012057,0.0071560,0.0032375,0.0421621,0.0111766,0.0017394,1.1940889,0.1020467,0.0240821,0.0069926,0.0007911,0.0019748,0.0125448,0.0013197,0.0004622,0.0006766,0.0116513,0.0014096,0.0004206,0.0006072,0.0009104,0.0005935,0.0007146,0.0002436,0.0005503,0.0003933,0.0002972,0.0017207,0.0005434,0.0004449,0.0002399,0.0003965,0.0002677,0.0003353,0.0001202,0.0005768,0.0008688,0.0001575,0.0002971,0.0006541,0.0003256,0.0007383,0.0019830,0.0004632,0.0007886,0.0011558,0.0062451,0.0051479,0.0003488,0.0010168,0.0049209,0.0009549,0.0012340,0.0014384,0.0013583,0.0007461,0.0013161,0.0012333
315AL,Apparel and leather and allied products,0.0001841,0.0000232,0.0000437,0.0000497,0.0000273,0.0000235,0.0000666,0.0001151,0.0001026,0.0000994,0.0000652,0.0001301,0.0000253,0.0000699,0.0023709,0.0000854,0.0003099,0.0007030,0.0002777,0.0012212,1.0412174,0.0002108,0.0001023,0.0000501,0.0000973,0.0001714,0.0001277,0.0000477,0.0000475,0.0005904,0.0001279,0.0000330,0.0000319,0.0001003,0.0000857,0.0000851,0.0000285,0.0000389,0.0000491,0.0000227,0.0000317,0.0000411,0.0000325,0.0000233,0.0000391,0.0000195,0.0000323,0.0000117,0.0000600,0.0000678,0.0000144,0.0000243,0.0000418,0.0000340,0.0001199,0.0004944,0.0000528,0.0000470,0.0000828,0.0000868,0.0001462,0.0000818,0.0001446,0.0000896,0.0001171,0.0009136,0.0001524,0.0000883,0.0010732,0.0004157,0.0001309
322,Paper products,0.0071647,0.0011510,0.0036944,0.0045813,0.0027102,0.0021530,0.0071318,0.0164203,0.0218465,0.0229368,0.0145597,0.0129204,0.0040222,0.0177078,0.0232806,0.0068323,0.0305601,0.0213150,0.0398724,0.0198625,0.0069428,1.2875632,0.1363618,0.0038642,0.0125507,0.0291197,0.0067017,0.0026676,0.0052608,0.0035043,0.0042420,0.0029976,0.0035919,0.0041322,0.0039640,0.0183117,0.0021725,0.0072986,0.0035655,0.0042713,0.0023281,0.0031741,0.0038334,0.0024949,0.0039054,0.0045230,0.0032573,0.0004566,0.0040423,0.0056317,0.0021411,0.0030039,0.0040673,0.0030232,0.0082912,0.0070684,0.0041019,0.0038202,0.0057751,0.0061512,0.0110208,0.0027261,0.0043463,0.0161510,0.0102478,0.0076372,0.0035619,0.0091983,0.0051401,0.0099140,0.0048870
323,Printing and related support activities,0.0012467,0.0004302,0.0011798,0.0011240,0.0009948,0.0010235,0.0015378,0.0015837,0.0014018,0.0038088,0.0019504,0.0017965,0.0005908,0.0017511,0.0023268,0.0012763,0.0024764,0.0016125,0.0017749,0.0042133,0.0027985,0.0027488,1.0153585,0.0010841,0.0011525,0.0017657,0.0048974,0.0020386,0.0014754,0.0016718,0.0061890,0.0011612,0.0012132,0.0020732,0.0019043,0.0030309,0.0010654,0.0018772,0.0009613,0.0071308,0.0044541,0.0021995,0.0088860,0.0019356,0.0037709,0.0058539,0.0031798,0.0002335,0.0020056,0.0025756,0.0019260,0.0016935,0.0034258,0.0026019,0.0039309,0.0016735,0.0036366,0.0021545,0.0047574,0.0016795,0.0068826,0.0043464,0.0027614,0.0034054,0.0023814,0.0032647,0.0025812,0.0044400,0.0018496,0.0044898,0.0029467
324,Petroleum and coal products,0.0253259,0.0073203,0.0247423,0.0289198,0.0116763,0.0327860,0.0271166,0.0165416,0.0167225,0.0240634,0.0141388,0.0107728,0.0032740,0.0141012,0.0122873,0.0062131,0.0142357,0.0136322,0.0172620,0.0230166,0.0067816,0.0199780,0.0167028,1.0420757,0.0291091,0.0273008,0.0071150,0.0068727,0.0063199,0.0055438,0.0062533,0.1331765,0.0471576,0.0832052,0.0491244,0.0295099,0.0070165,0.0455905,0.0209965,0.0029256,0.0032814,0.0044368,0.0049085,0.0059567,0.0091146,0.0017890,0.0103939,0.0011347,0.0102247,0.0084101,0.0019720,0.0045571,0.0053618,0.0043664,0.0093976,0.0204028,0.0090320,0.0062909,0.0071493,0.0078315,0.0089722,0.0050950,0.0096721,0.0072029,0.0090616,0.0072818,0.0233166,0.0072587,0.0242873,0.0416985,0.0683279
325,Chemical products,0.0940368,0.0301117,0.0421866,0.0351942,0.0168166,0.0115836,0.0325644,0.0810599,0.0550694,0.0317729,0.0406910,0.0329651,0.0164316,0.0432816,0.0706396,0.0231506,0.0761347,0.0736292,0.0588187,0.3278966,0.0474670,0.0899131,0.0978606,0.0952009,1.3301250,0.3890315,0.0134212,0.0092636,0.0094564,0.0101266,0.0110227,0.0195636,0.0154346,0.0184754,0.0136316,0.0121346,0.0063176,0.0123804,0.0105533,0.0065758,0.0076850,0.0118239,0.0114894,0.0053739,0.0092414,0.0054822,0.0081514,0.0016903,0.0194530,0.0108357,0.0037421,0.0070710,0.0351129,0.0110918,0.0212321,0.0304988,0.0118120,0.0603813,0.0394208,0.0325149,0.0197462,0.0098881,0.0173127,0.0100429,0.0164142,0.0167861,0.0196445,0.0186318,0.0113494,0.0370273,0.0391743
326,Plastics and rubber products,0.0118013,0.0023840,0.0050892,0.0144722,0.0059292,0.0025347,0.0225507,0.0168062,0.0146391,0.0149881,0.0138136,0.0327016,0.0107023,0.0231689,0.0597364,0.0173358,0.0479929,0.0313248,0.0310408,0.0247415,0.0142796,0.0262599,0.0446408,0.0057721,0.0192444,1.0904755,0.0130827,0.0059213,0.0083281,0.0047206,0.0066749,0.0045035,0.0041862,0.0049647,0.0070163,0.0054191,0.0029998,0.0088447,0.0047891,0.0025719,0.0023422,0.0106333,0.0047234,0.0017609,0.0029688,0.0041664,0.0027798,0.0008168,0.0043930,0.0087448,0.0012225,0.0045342,0.0063984,0.0026160,0.0062842,0.0093974,0.0058115,0.0107883,0.0100978,0.0098709,0.0133588,0.0025159,0.0051807,0.0042750,0.0117370,0.0086448,0.0095049,0.0061104,0.0050631,0.0102109,0.0191331
42,Wholesale trade,0.1570999,0.0428430,0.0659502,0.0664361,0.0320250,0.0256830,0.0914997,0.1500929,0.0885990,0.1856077,0.1253489,0.1459999,0.0632500,0.1472310,0.2410011,0.1053717,0.1439331,0.0943837,0.1773357,0.1309256,0.0888738,0.1336674,0.0922316,0.0872344,0.1210455,0.1508679,1.0436483,0.0254932,0.0211341,0.0224634,0.0295572,0.0411487,0.0548948,0.0605339,0.0445445,0.0325894,0.0177572,0.0340492,0.0295957,0.0363274,0.0095861,0.0389914,0.0235370,0.0101113,0.0164944,0.0084418,0.0175658,0.0036718,0.0235700,0.0527612,0.0075727,0.0174965,0.0277011,0.0237131,0.0305976,0.0568766,0.0238446,0.0424132,0.0400337,0.0309872,0.0503017,0.0146117,0.0328956,0.0281171,0.0501877,0.0350675,0.0530471,0.0293763,0.0400327,0.0461304,0.0801338
441,Motor vehicle and parts dealers,0.0006969,0.0001868,0.0015780,0.0025896,0.0010935,0.0003848,0.0023172,0.0038915,0.0022915,0.0017544,0.0020071,0.0068210,0.0007100,0.0009243,0.0089540,0.0031445,0.0027038,0.0023087,0.0023497,0.0013569,0.0008093,0.0032544,0.0016144,0.0010786,0.0011923,0.0016153,0.0005546,1.0019593,0.0027965,0.0008725,0.0020019,0.0005786,0.0008499,0.0012571,0.0044702,0.0010723,0.0004305,0.0006658,0.0009357,0.0004778,0.0005070,0.0006524,0.0005675,0.0003572,0.0004982,0.0002626,0.0004057,0.0001765,0.0010489,0.0027025,0.0002323,0.0004705,0.0006906,0.0004942,0.0038140,0.0016456,0.0004761,0.0003956,0.0006679,0.0005214,0.0006257,0.0004418,0.0007343,0.0006141,0.0008017,0.0054423,0.0007492,0.0005176,0.0006703,0.0005954,0.0010722
445,Food and beverage stores,0.0001558,0.0000139,0.0000250,0.0000335,0.0000168,0.0001291,0.0001270,0.0000459,0.0000648,0.0000604,0.0000416,0.0000505,0.0000170,0.0000430,0.0000524,0.0000251,0.0000754,0.0000588,0.0000947,0.0000558,0.0000326,0.0000496,0.0002668,0.0000366,0.0000838,0.0000567,0.0000368,0.0000484,1.0000389,0.0000328,0.0000416,0.0000695,0.0000699,0.0000437,0.0006547,0.0004418,0.0000233,0.0001671,0.0000318,0.0000191,0.0000215,0.0000241,0.0000347,0.0000388,0.0000389,0.0000184,0.0000396,0.0000321,0.0001001,0.0000491,0.0000203,0.0000361,0.0000347,0.0000305,0.0000946,0.0000399,0.0000420,0.0000543,0.0000655,0.0000720,0.0000577,0.0000332,0.0000472,0.0001585,0.0013084,0.0000421,0.0000257,0.0000217,0.0000348,0.0000383,0.0000498
452,General merchandise stores,0.0004344,0.0000462,0.0001190,0.0001886,0.0000779,0.0003245,0.0008895,0.0002735,0.0002448,0.0002173,0.0001802,0.0004058,0.0000842,0.0001672,0.0004650,0.0001728,0.0003702,0.0003097,0.0003445,0.0002279,0.0001165,0.0002453,0.0009119,0.0001244,0.0001887,0.0001899,0.0001026,0.0002004,0.0002232,1.0001161,0.0001903,0.0001205,0.0002280,0.0001574,0.0018762,0.0012024,0.0000785,0.0004478,0.0001116,0.0000616,0.0000613,0.0000828,0.0000961,0.0000738,0.0000974,0.0000466,0.0000822,0.0001703,0.0002881,0.0002328,0.0000444,0.0000689,0.0000886,0.0000715,0.0004043,0.0001481,0.0001805,0.0000798,0.0001205,0.0001058,0.0001180,0.0001015,0.0001188,0.0003592,0.0003991,0.0003359,0.0000927,0.0000758,0.0001050,0.0001055,0.0002381
4A0,Other retail,0.0058066,0.0005871,0.0013825,0.0035735,0.0011311,0.0050753,0.0438498,0.0059290,0.0027798,0.0030753,0.0022280,0.0036092,0.0010435,0.0022905,0.0037443,0.0015793,0.0047858,0.0037198,0.0042498,0.0042211,0.0014908,0.0030328,0.0168453,0.0022850,0.0049073,0.0031656,0.0015050,0.0043078,0.0021630,0.0039033,1.0024403,0.0017830,0.0039647,0.0097356,0.0243253,0.0149262,0.0016059,0.0068211,0.0015181,0.0007205,0.0009200,0.0011573,0.0013519,0.0012798,0.0015048,0.0006958,0.0013016,0.0029229,0.0042532,0.0018151,0.0006099,0.0008491,0.0012029,0.0009686,0.0025651,0.0017956,0.0015222,0.0014109,0.0017440,0.0018791,0.0018233,0.0026611,0.0025927,0.0071542,0.0079512,0.0032274,0.0017380,0.0010202,0.0017999,0.0020258,0.0085445
481,Air transportation,0.0029159,0.0024401,0.0015356,0.0017428,0.0018533,0.0017421,0.0022268,0.0049349,0.0059572,0.0038904,0.0029962,0.0027369,0.0009708,0.0024631,0.0037168,0.0021206,0.0036040,0.0023572,0.0032741,0.0026903,0.0022619,0.0034093,0.0033108,0.0015875,0.0019416,0.0037489,0.0042314,0.0020058,0.0017625,0.0017037,0.0021379,1.0031139,0.0019282,0.0057799,0.0083619,0.0023993,0.0012954,0.0064351,0.0032744,0.0019624,0.0024708,0.0022002,0.0037010,0.0052143,0.0060300,0.0009460,0.0057181,0.0003996,0.0076909,0.0046441,0.0021390,0.0053708,0.0028827,0.0020755,0.0042682,0.0044140,0.0033071,0.0031226,0.0022695,0.0025907,0.0038462,0.0020099,0.0031435,0.0018065,0.0035182,0.0021299,0.0100467,0.0105952,0.0050355,0.0024778,0.0021581
482,Rail transportation,0.0091583,0.0011567,0.0037177,0.0076862,0.0016417,0.0051704,0.0041461,0.0101288,0.0183387,0.0200246,0.0087468,0.0059435,0.0012460,0.0069440,0.0077678,0.0031440,0.0079570,0.0043035,0.0118402,0.0054815,0.0015598,0.0178203,0.0050941,0.0058525,0.0085338,0.0119866,0.0010428,0.0008193,0.0010094,0.0008237,0.0008866,0.0022875,1.0041406,0.0022709,0.0112411,0.0013110,0.0008662,0.0021666,0.0010820,0.0004637,0.0004392,0.0011335,0.0008418,0.0004694,0.0008759,0.0004442,0.0007797,0.0001922,0.0012580,0.0010678,0.0003349,0.0005582,0.0011054,0.0005683,0.0014326,0.0019671,0.0010273,0.0012607,0.0013539,0.0012555,0.0023879,0.0006622,0.0014299,0.0014153,0.0026249,0.0012962,0.0016626,0.0035977,0.0102605,0.0024952,0.0076689
483,Water transportation,0.0030971,0.0002135,0.0016023,0.0015873,0.0004120,0.0005909,0.0009969,0.0004361,0.0031773,0.0030086,0.0012889,0.0008429,0.0002058,0.0012178,0.0009100,0.0003981,0.0007310,0.0007545,0.0030267,0.0012202,0.0002856,0.0009614,0.0003958,0.0012196,0.0014727,0.0011443,0.0002683,0.0002228,0.0002009,0.0001722,0.0002236,0.0004250,0.0003207,1.0008590,0.0003626,0.0002463,0.0002866,0.0002571,0.0003069,0.0001256,0.0001179,0.0001877,0.0002069,0.0001228,0.0002365,0.0000858,0.0001981,0.0000412,0.0002649,0.0002481,0.0000649,0.0001237,0.0005546,0.0001629,0.0002917,0.0004139,0.0003386,0.0002894,0.0003411,0.0002614,0.0004787,0.0001564,0.0003266,0.0003035,0.0005121,0.0002380,0.0028709,0.0006975,0.0140014,0.0006407,0.0010407
484,Truck transportation,0.0395956,0.0114272,0.0112367,0.0207661,0.0057279,0.0073350,0.0244877,0.0355160,0.0443156,0.0562963,0.0295451,0.0255721,0.0078049,0.0273033,0.0339694,0.0159200,0.0338742,0.0172557,0.0573758,0.0313783,0.0172214,0.0331513,0.0190206,0.0209840,0.0177047,0.0242340,0.0096385,0.0115615,0.0089240,0.0073288,0.0103836,0.0191319,0.0123010,0.0137509,1.0495552,0.0083055,0.0053577,0.0323180,0.0142248,0.0043525,0.0031052,0.0052075,0.0059450,0.0021411,0.0037112,0.0018431,0.0033426,0.0009054,0.0064365,0.0066640,0.0017208,0.0031333,0.0055411,0.0029380,0.0058458,0.0138575,0.0053132,0.0049721,0.0069196,0.0057941,0.0115360,0.0039956,0.0074284,0.0064874,0.0101766,0.0070868,0.0150511,0.0052539,0.0203064,0.0094352,0.0160438
485,Transit and ground passenger transportation,0.0008421,0.0002841,0.0010013,0.0010150,0.0013600,0.0020037,0.0014076,0.0017890,0.0019534,0.0021154,0.0017831,0.0014407,0.0004179,0.0011849,0.0016182,0.0009913,0.0020620,0.0014308,0.0013620,0.0011533,0.0014543,0.0017046,0.0021786,0.0009027,0.0008198,0.0017836,0.0020948,0.0017416,0.0014050,0.0014459,0.0016988,0.0009676,0.0042694,0.0019824,0.0013496,1.0017604,0.0010790,0.0017243,0.0011182,0.0016381,0.0032004,0.0027102,0.0037162,0.0056906,0.0049869,0.0020601,0.0049936,0.0004023,0.0076782,0.0043903,0.0024347,0.0057543,0.0031288,0.0020436,0.0040858,0.0034871,0.0034372,0.0034286,0.0056189,0.0040644,0.0029778,0.0170022,0.0025737,0.0016277,0.0032296,0.0019281,0.0008467,0.0010861,0.0012210,0.0075942,0.0034931
486,Pipeline transportation,0.0023498,0.0005311,0.0232539,0.0025551,0.0007734,0.0236267,0.0017061,0.0014806,0.0018654,0.0022106,0.0013755,0.0010283,0.0003685,0.0011666,0.0011732,0.0009245,0.0013209,0.0010548,0.0016838,0.0020677,0.0006959,0.0021527,0.0015604,0.0358491,0.0026475,0.0021915,0.0008164,0.0009258,0.0013078,0.0011925,0.0009302,0.0077900,0.0028262,0.0052071,0.0034215,0.0019789,1.0011299,0.0029642,0.0018061,0.0003446,0.0003994,0.0006272,0.0006767,0.0005622,0.0008169,0.0002216,0.0010615,0.0000958,0.0013687,0.0008502,0.0002743,0.0004255,0.0005282,0.0005984,0.0008259,0.0018694,0.0011534,0.0006086,0.0008485,0.0009913,0.0009073,0.0006590,0.0012232,0.0011328,0.0012418,0.0008294,0.0016331,0.0006274,0.0071636,0.0028144,0.0232565
487OS,Other transportation and support activities,0.0121527,0.0044539,0.0058689,0.0107887,0.0035318,0.0152958,0.0090675,0.0195235,0.0196444,0.0174664,0.0104549,0.0100683,0.0036633,0.0102848,0.0146664,0.0069844,0.0156582,0.0081385,0.0162877,0.0126664,0.0085457,0.0160818,0.0125690,0.0088860,0.0080203,0.0134386,0.0344105,0.0126324,0.0106963,0.0066146,0.0189166,0.0997845,0.0178089,0.0586238,0.1478227,0.0180429,0.0183566,1.1282954,0.0391272,0.0061133,0.0087401,0.0044506,0.0129466,0.0037681,0.0106306,0.0017026,0.0076419,0.0006075,0.0051628,0.0183509,0.0031924,0.0047738,0.0072933,0.0044882,0.0070523,0.0191665,0.0051216,0.0055390,0.0100487,0.0050720,0.0103628,0.0064809,0.0078701,0.0041137,0.0069873,0.0050750,0.0060429,0.0044089,0.0189621,0.0052242,0.0163570
493,Warehousing and storage,0.0064714,0.0012246,0.0024248,0.0037690,0.0013945,0.0025336,0.0052530,0.0150133,0.0181676,0.0066724,0.0058363,0.0058864,0.0028236,0.0053449,0.0077336,0.0038210,0.0086391,0.0065456,0.0103785,0.0325500,0.0166349,0.0225108,0.0163885,0.0041266,0.0064598,0.0190162,0.0172619,0.0317974,0.0288269,0.0225244,0.0286355,0.0029144,0.0027301,0.0187550,0.0228892,0.0061936,0.0057706,0.0067651,1.0411334,0.0028839,0.0029569,0.0029528,0.0047539,0.0010870,0.0018048,0.0009483,0.0015707,0.0003172,0.0035480,0.0053326,0.0013269,0.0020718,0.0024459,0.0016146,0.0118506,0.0055851,0.0021135,0.0026146,0.0044634,0.0029683,0.0038579,0.0027599,0.0027338,0.0024279,0.0047112,0.0030072,0.0028064,0.0042583,0.0021815,0.0054692,0.0041275
511,"Publishing industries, except internet (includes software)",0.0016278,0.0005110,0.0019139,0.0016954,0.0013666,0.0027862,0.0027878,0.0031665,0.0030132,0.0033758,0.0030672,0.0027437,0.0010014,0.0023644,0.0027187,0.0037954,0.0035633,0.0025412,0.0023514,0.0021957,0.0022137,0.0029017,0.0031292,0.0016718,0.0013737,0.0023127,0.0045679,0.0063493,0.0027635,0.0034426,0.0044864,0.0022213,0.0028771,0.0036769,0.0023163,0.0035652,0.0020787,0.0038051,0.0025651,1.1022647,0.0024249,0.0040611,0.0122315,0.0046541,0.0067305,0.0032503,0.0073985,0.0004292,0.0042340,0.0044833,0.0055553,0.0063888,0.0061048,0.0035198,0.0090651,0.0045189,0.0073213,0.0028793,0.0055654,0.0027751,0.0058284,0.0034568,0.0040429,0.0028284,0.0041904,0.0038826,0.0029804,0.0076448,0.0027752,0.0089576,0.0054023
512,Motion picture and sound recording industries,0.0005594,0.0001775,0.0007632,0.0006451,0.0005714,0.0006674,0.0008920,0.0008134,0.0009672,0.0009855,0.0008863,0.0008008,0.0002986,0.0006939,0.0008646,0.0007541,0.0009758,0.0007691,0.0008126,0.0007589,0.0008225,0.0008175,0.0010017,0.0006798,0.0004723,0.0007960,0.0013171,0.0032385,0.0023185,0.0007943,0.0012973,0.0012882,0.0007362,0.0014955,0.0010602,0.0012836,0.0030773,0.0010277,0.0006233,0.0015624,1.2281884,0.0833383,0.0028988,0.0015308,0.0023630,0.0008630,0.0021528,0.0001452,0.0022968,0.0017887,0.0011149,0.0013666,0.0035501,0.0019165,0.0018993,0.0014587,0.0035473,0.0010673,0.0012529,0.0055329,0.0094023,0.0037719,0.0019215,0.0051597,0.0063570,0.0017571,0.0015708,0.0052690,0.0023256,0.0029329,0.0013567
513,Broadcasting and telecommunications,0.0054485,0.0016773,0.0066889,0.0057392,0.0053550,0.0064176,0.0090584,0.0081162,0.0099833,0.0095958,0.0089409,0.0076944,0.0027270,0.0066883,0.0079582,0.0078997,0.0096731,0.0076177,0.0076966,0.0073316,0.0078124,0.0078835,0.0104395,0.0058896,0.0043450,0.0076366,0.0122621,0.0138462,0.0086786,0.0071431,0.0127487,0.0094746,0.0068226,0.0129125,0.0105501,0.0134761,0.0272600,0.0096121,0.0059429,0.0107039,0.0109679,1.1218733,0.0332987,0.0148971,0.0213337,0.0086254,0.0207334,0.0013670,0.0223976,0.0140027,0.0120904,0.0119368,0.0134985,0.0108067,0.0192070,0.0154269,0.0138690,0.0088775,0.0108838,0.0113041,0.0096981,0.0104634,0.0150466,0.0225903,0.0133473,0.0125960,0.0156825,0.0183912,0.0189032,0.0327477,0.0134548
514,"Data processing, internet publishing, and other information services",0.0060154,0.0021291,0.0077210,0.0075276,0.0059267,0.0135314,0.0112842,0.0160536,0.0176940,0.0160835,0.0151462,0.0136981,0.0036269,0.0121976,0.0120004,0.0153407,0.0194488,0.0128892,0.0110186,0.0110976,0.0106587,0.0156996,0.0139520,0.0069452,0.0059270,0.0111907,0.0147606,0.0302363,0.0148071,0.0132925,0.0225749,0.0093315,0.0093843,0.0167005,0.0094229,0.0165820,0.0115434,0.0104503,0.0083190,0.0256205,0.0112759,0.0179698,1.0481601,0.0265325,0.0275247,0.0122801,0.0366119,0.0022048,0.0185151,0.0168789,0.0167981,0.0215631,0.0222683,0.0157933,0.0451987,0.0259576,0.0298111,0.0092435,0.0172940,0.0116968,0.0141910,0.0177137,0.0201122,0.0130177,0.0244586,0.0193493,0.0159994,0.0254151,0.0152148,0.0273085,0.0240493
521CI,"Federal Reserve banks, credit intermediation, and related activities",0.0241487,0.0102036,0.0238751,0.0255109,0.0257232,0.0232997,0.0203172,0.0230133,0.0227794,0.0280351,0.0227888,0.0209832,0.0138527,0.0239515,0.0299315,0.0165149,0.0280029,0.0261583,0.0269300,0.0237691,0.0617363,0.0239590,0.0228613,0.0211183,0.0182470,0.0249842,0.0320018,0.0265391,0.0218378,0.0259028,0.0239362,0.0246367,0.0861147,0.0442213,0.0265436,0.0638348,0.0696444,0.0231445,0.0153213,0.0239122,0.0847293,0.0296501,0.0262541,1.0986427,0.1359724,0.0090106,0.1537259,0.0567905,0.0744164,0.0527106,0.0127649,0.0152509,0.0215747,0.0592216,0.0206786,0.0241777,0.0189824,0.0169844,0.0237062,0.0198870,0.0196403,0.0213389,0.0302421,0.0302449,0.0359078,0.0260085,0.0087247,0.0269413,0.0251707,0.0190471,0.0296795
523,"Securities, commodity contracts, and investments",0.0054310,0.0017092,0.0113755,0.0380512,0.0910076,0.0054933,0.0062992,0.0052488,0.0084209,0.0212161,0.0152651,0.0130235,0.0030407,0.0112270,0.0138666,0.0070438,0.0166274,0.0119003,0.0063297,0.0054017,0.0091218,0.0059657,0.0052032,0.0079165,0.0042460,0.0060240,0.0080981,0.0051194,0.0051948,0.0061585,0.0058724,0.0138064,0.0155832,0.0241804,0.0086951,0.0401690,0.0122736,0.0144375,0.0046088,0.0044183,0.0142318,0.0058455,0.0049843,0.0615201,1.0854612,0.0112332,0.6347131,0.0052424,0.0178752,0.0233387,0.0040852,0.0045560,0.0056124,0.0259974,0.0061411,0.0067965,0.0055939,0.0059831,0.0202796,0.0070605,0.0157982,0.0117899,0.0069480,0.0062094,0.0264813,0.0091415,0.0028961,0.0042717,0.0059291,0.0043059,0.0233694
524,Insurance carriers and related activities,0.0269454,0.0109082,0.0226767,0.0198713,0.0197431,0.0119353,0.0128244,0.0182235,0.0267789,0.0240533,0.0190755,0.0198398,0.0060545,0.0239970,0.0317377,0.0145897,0.0253945,0.0160264,0.0281084,0.0244469,0.0230226,0.0190271,0.0151283,0.0176223,0.0151342,0.0203408,0.0388759,0.0279926,0.0215554,0.0219007,0.0259181,0.0166632,0.0131145,0.0470755,0.0648516,0.1817006,0.0183456,0.0326310,0.0313304,0.0088168,0.0252748,0.0169452,0.0133648,0.0188070,0.0431560,1.5605328,0.1400662,0.0079992,0.0820176,0.0538084,0.0158378,0.0138016,0.0178552,0.0141402,0.0216151,0.0286944,0.0311005,0.0274274,0.0421751,0.0364086,0.0602004,0.0333729,0.0339242,0.0174502,0.0289128,0.0177925,0.0077746,0.0104324,0.1370244,0.0118992,0.0639846
525,"Funds, trusts, and other financial vehicles",0.0000354,0.0000151,0.0000329,0.0000278,0.0000267,0.0000164,0.0000175,0.0000250,0.0000355,0.0000392,0.0000272,0.0000280,0.0000085,0.0000328,0.0000429,0.0000199,0.0000338,0.0000220,0.0000377,0.0000327,0.0000308,0.0000257,0.0000202,0.0000249,0.0000205,0.0000272,0.0000516,0.0000362,0.0000284,0.0000299,0.0000343,0.0000222,0.0000174,0.0000610,0.0000833,0.0002304,0.0000238,0.0000433,0.0000406,0.0000119,0.0000326,0.0000223,0.0000176,0.0000244,0.0000561,0.0019712,1.0144730,0.0000102,0.0001062,0.0000701,0.0000207,0.0000181,0.0000235,0.0000535,0.0000287,0.0000402,0.0000411,0.0000364,0.0000546,0.0000475,0.0000771,0.0000444,0.0000443,0.0000232,0.0000396,0.0000274,0.0000104,0.0000138,0.0001738,0.0002041,0.0000822
HS,Housing,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
