"Total Requirements, Industry-by-Industry - Summary"
"Total Requirements, Industry-by-Industry - Summary"

,Industries/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
,Industry Description,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises
331,Primary metals,0.0116864,0.0024952,0.0612657,0.0265338,0.0134577,0.0080047,0.0389043,0.0231894,0.0360623,1.4534476,0.3531635,0.2145502,0.0350848,0.2383415,0.2001315,0.0769027,0.1087477,0.0796568,0.0197850,0.0180079,0.0069747,0.0334633,0.0172234,0.0356168,0.0121092,0.0341477,0.0061877,0.0054136,0.0049858,0.0044062,0.0050425,0.0087567,0.0218864,0.0148054,0.0104978,0.0085383,0.0108808,0.0093365,0.0096973,0.0029367,0.0022795,0.0111157,0.0077947,0.0025103,0.0040994,0.0018109,0.0037646,0.0013806,0.0088336,0.0074289,0.0016135,0.0054281,0.0063319,0.0038976,0.0089220,0.0269283,0.0080035,0.0046061,0.0071940,0.0047076,0.0126995,0.0033081,0.0091974,0.0066340,0.0066443,0.0205581,0.0185361,0.0109915,0.0120173,0.0076282,0.0278140
332,Fabricated metal products,0.0133529,0.0034879,0.0420444,0.0218254,0.0122781,0.0101948,0.0682668,0.0385547,0.0290198,0.0774180,1.1301980,0.0922113,0.0278830,0.1068696,0.0832792,0.0656795,0.0835885,0.0417504,0.0310677,0.0270582,0.0108103,0.0491640,0.0261395,0.0277375,0.0199139,0.0475847,0.0066162,0.0059682,0.0054576,0.0051877,0.0060173,0.0083292,0.0137248,0.0270471,0.0123744,0.0116751,0.0282069,0.0091886,0.0118566,0.0043028,0.0026085,0.0193358,0.0088518,0.0032597,0.0047250,0.0020945,0.0044188,0.0021379,0.0085680,0.0100182,0.0018792,0.0076731,0.0072513,0.0046501,0.0082409,0.0368511,0.0081781,0.0046457,0.0080573,0.0050878,0.0177412,0.0033657,0.0088155,0.0119379,0.0096429,0.0258842,0.0220768,0.0091640,0.0105077,0.0093639,0.0388645
333,Machinery,0.0101747,0.0016333,0.0433602,0.0469239,0.0266865,0.0054642,0.0260734,0.0089258,0.0086361,0.0184868,0.0206744,1.1018242,0.0035230,0.0250449,0.0783129,0.0201662,0.0088187,0.0107731,0.0126751,0.0076186,0.0031804,0.0139579,0.0229145,0.0248938,0.0127496,0.0181601,0.0038892,0.0035831,0.0033538,0.0029790,0.0034257,0.0059192,0.0050667,0.0065941,0.0073034,0.0047196,0.0032878,0.0140476,0.0151774,0.0016602,0.0014569,0.0040728,0.0045237,0.0014493,0.0023542,0.0017595,0.0021579,0.0008651,0.0048127,0.0055434,0.0010174,0.0047865,0.0035385,0.0025086,0.0075817,0.0391563,0.0090742,0.0030851,0.0040851,0.0032174,0.0048946,0.0021149,0.0044820,0.0028443,0.0040282,0.0121939,0.0073621,0.0038843,0.0058063,0.0062516,0.0186583
334,Computer and electronic products,0.0067832,0.0017505,0.0073366,0.0064506,0.0042405,0.0026541,0.0114000,0.0189040,0.0119574,0.0202780,0.0268694,0.0336409,1.1296183,0.0431333,0.0612697,0.1140299,0.0249588,0.0220541,0.0118740,0.0200149,0.0078253,0.0154196,0.0248736,0.0068081,0.0121086,0.0202645,0.0247364,0.0070916,0.0044018,0.0051483,0.0048772,0.0050489,0.0061375,0.0077974,0.0051326,0.0046630,0.0033318,0.0045650,0.0042448,0.0102154,0.0069617,0.0342604,0.0190448,0.0035507,0.0068933,0.0020431,0.0115541,0.0006565,0.0051857,0.0055425,0.0050159,0.0125271,0.0084229,0.0185524,0.0098564,0.0132081,0.0082384,0.0109951,0.0060923,0.0042754,0.0068744,0.0029858,0.0049995,0.0049279,0.0054330,0.0116563,0.0345404,0.0183559,0.0049755,0.0058214,0.0122177
335,"Electrical equipment, appliances, and components",0.0159001,0.0013762,0.0046876,0.0047522,0.0062709,0.0014869,0.0253107,0.0062594,0.0037771,0.0144386,0.0156133,0.0518860,0.0097973,1.0946211,0.0247844,0.0109922,0.0059670,0.0085000,0.0084283,0.0048439,0.0018983,0.0070553,0.0048059,0.0036560,0.0042928,0.0077626,0.0026403,0.0028120,0.0018850,0.0036860,0.0018524,0.0022794,0.0054927,0.0034309,0.0024803,0.0035363,0.0018237,0.0020974,0.0030285,0.0010394,0.0008769,0.0079009,0.0021742,0.0012424,0.0024493,0.0008684,0.0019725,0.0007483,0.0032449,0.0027141,0.0006948,0.0059598,0.0039288,0.0015054,0.0035671,0.0106291,0.0025660,0.0012714,0.0027290,0.0035630,0.0044132,0.0013522,0.0040073,0.0036118,0.0026690,0.0067450,0.0083350,0.0136191,0.0030893,0.0028322,0.0166875
3361MV,"Motor vehicles, bodies and trailers, and parts",0.0074644,0.0026775,0.0096913,0.0131699,0.0054370,0.0027079,0.0072458,0.0245965,0.0101018,0.0166921,0.0119709,0.0449100,0.0053902,0.0139072,1.4075709,0.0254072,0.0155078,0.0098686,0.0118717,0.0103474,0.0061602,0.0155849,0.0080850,0.0068776,0.0056965,0.0090417,0.0081803,0.0110687,0.0105653,0.0043384,0.0082130,0.0035972,0.0053637,0.0088093,0.0235142,0.0140042,0.0027110,0.0048033,0.0150093,0.0026460,0.0024734,0.0053547,0.0044587,0.0019890,0.0029824,0.0014403,0.0025065,0.0005699,0.0053128,0.0114027,0.0013574,0.0027391,0.0044419,0.0038336,0.0205115,0.0222134,0.0060006,0.0031495,0.0069153,0.0038612,0.0161613,0.0028947,0.0042915,0.0037735,0.0056632,0.0226187,0.0221766,0.0037084,0.0496173,0.0078878,0.0107885
3364OT,Other transportation equipment,0.0006141,0.0006293,0.0004886,0.0006630,0.0003311,0.0004015,0.0006077,0.0010202,0.0008475,0.0013569,0.0010299,0.0021227,0.0005592,0.0011133,0.0059133,1.2958329,0.0007677,0.0005160,0.0007555,0.0005329,0.0002940,0.0008549,0.0005835,0.0004625,0.0004811,0.0007984,0.0006402,0.0004110,0.0003374,0.0002469,0.0004297,0.0102697,0.0166042,0.0199452,0.0019330,0.0023942,0.0003409,0.0095331,0.0006210,0.0002433,0.0002512,0.0004223,0.0004345,0.0002518,0.0005521,0.0001579,0.0004427,0.0000413,0.0004074,0.0004861,0.0001470,0.0003194,0.0016169,0.0003111,0.0005586,0.0016164,0.0003135,0.0002565,0.0003641,0.0002707,0.0004565,0.0002704,0.0016031,0.0002421,0.0003529,0.0006559,0.1115227,0.0027962,0.0011538,0.0003474,0.0011458
337,Furniture and related products,0.0002490,0.0000565,0.0002115,0.0004938,0.0001972,0.0002536,0.0092111,0.0030956,0.0003748,0.0004532,0.0003773,0.0008876,0.0004893,0.0003959,0.0005433,0.0003345,1.0405555,0.0015919,0.0003077,0.0006092,0.0003541,0.0005854,0.0003380,0.0002833,0.0002265,0.0014138,0.0004873,0.0005905,0.0002503,0.0002815,0.0011595,0.0001630,0.0006697,0.0002362,0.0002568,0.0002131,0.0003029,0.0002159,0.0002098,0.0001040,0.0002208,0.0003993,0.0006741,0.0001713,0.0002017,0.0000896,0.0001945,0.0010380,0.0005634,0.0002211,0.0001062,0.0001173,0.0003403,0.0001782,0.0001866,0.0003056,0.0002003,0.0003051,0.0003789,0.0002346,0.0011454,0.0017021,0.0014743,0.0003692,0.0004962,0.0005158,0.0003268,0.0001588,0.0008651,0.0003420,0.0054922
339,Miscellaneous manufacturing,0.0008533,0.0001516,0.0007827,0.0008731,0.0004720,0.0002954,0.0018248,0.0010758,0.0010772,0.0010935,0.0011889,0.0060202,0.0006658,0.0043553,0.0058297,0.0011282,0.0014520,1.0298899,0.0008688,0.0024403,0.0108393,0.0009803,0.0010165,0.0006080,0.0009024,0.0018632,0.0009753,0.0011832,0.0007787,0.0004845,0.0009604,0.0004169,0.0004699,0.0008102,0.0005741,0.0007962,0.0004327,0.0006939,0.0010016,0.0004088,0.0003588,0.0007610,0.0007038,0.0003782,0.0006218,0.0003130,0.0005202,0.0001003,0.0008843,0.0007235,0.0002412,0.0004635,0.0013029,0.0004882,0.0022390,0.0032669,0.0013176,0.0137597,0.0229456,0.0019202,0.0049142,0.0009456,0.0013184,0.0005194,0.0009811,0.0025474,0.0027051,0.0014397,0.0006049,0.0024550,0.0012283
311FT,Food and beverage and tobacco products,0.1020830,0.0044819,0.0013915,0.0012902,0.0010151,0.0010853,0.0016646,0.0040415,0.0066782,0.0034165,0.0019891,0.0016690,0.0005993,0.0018221,0.0026416,0.0010924,0.0027126,0.0023894,1.2184381,0.0098931,0.0196766,0.0048952,0.0105266,0.0030580,0.0160391,0.0075870,0.0028813,0.0013581,0.0035961,0.0022145,0.0015430,0.0039128,0.0010898,0.0065123,0.0014179,0.0013719,0.0008132,0.0014812,0.0009898,0.0009321,0.0014943,0.0013743,0.0020398,0.0019448,0.0018970,0.0009028,0.0020249,0.0002052,0.0040826,0.0021136,0.0009977,0.0019061,0.0042381,0.0018785,0.0021805,0.0022599,0.0145869,0.0034463,0.0101896,0.0192658,0.0709146,0.0067984,0.0258777,0.0199270,0.0745527,0.0033467,0.0067356,0.0015696,0.0085449,0.0426166,0.0018963
